"Birth date","First name","Last name","Weight"
"28/02/1975","Ja'ne","Doe","61."
"28/03/1988","Bo.b","Big","102."
"01/04/1970","Jo;hn","Smith","81."
"31/05/1975","Ja<ne","Doe","61."
"28/06/1988","Bo>b","Big","102."
"01/07/1970","Jo.hn","Smith","81."
"31/08/1975","Ja/ne","Doe","61."
"28/11/1988","Bo!b","Big","102."
"01/09/1970","Jo`hn","Smith","81."
"01/10/1971","Jo~hn","Smith","81."
"01/01/1970","Jo?hn","Smith","81."
"15/02/1975","Ja/ne","Doe","61."
"28/03/1988","Bo\b","Big","102."
"01/04/1970","Jo]hn","Smith","81."
"31/05/1975","Ja[ne","Doe","61."
"28/06/1988","Bo=b","Big","102."
"01/07/1970","Jo+hn","Smith","81."
"31/08/1975","Ja-ne","Doe","61."
"28/11/1988","Bo)_b","Big","102"
"01/09/1970","Jo(hn","Smith","81."
"01/10/1972","Jo*hn","Smith","81."
"01/01/1970","Jo,hn","Smith","81."
"28/02/1975","Ja'ne","Doe","61."
"28/03/1988","Bo&b","Big","102."
"01/04/1970","Jo;hn","Smith","81."
"31/05/1975","Ja<ne","Doe","61."
"28/06/1988","Bo>b","Big","102."
"01/07/1970","Jo.hn","Smith","81."
"31/08/1975","Ja/ne","Doe","61."
"28/11/1988","Bo!b","Big","102."
"01/09/1970","Jo`hn","Smith","81."
"01/10/1971","Jo~hn","Smith","81."
"01/01/1970","Jo^hn","Smith","81."
"15/02/1975","Ja%ne","Doe","61."
"28/03/1988","Bo$b","Big","102."
"01/04/1970","Jo#hn","Smith","81."
"31/05/1975","Ja@ne","Doe","61."
"28/06/1988","Bo!b","Big","102."
"01/07/1970","John","Smith","81.5"
"31/08/1975","Jane","Doe","61.1"
"28/11/1988","Bob","Big","102.4"
"01/09/1970","John","Smith","81.5"
"01/10/1972","John","Smith","81.5"
